id,universitySlug,nameFa,category,url,relation,sourceUrl,evidence,lastVerified
tehran-sys-1,tehran,سامانه رویدادهای علمی,research,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-sys-2,tehran,سامانه‌های ملی صنعت/فناوری,industry,,,https://research.ut.ac.ir/fa,verified,2026-08-10
ferdowsi-journals,ferdowsi,سامانه یکپارچه نشریات,journals,https://jm.um.ac.ir/,unit-service,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-profdoc,ferdowsi,دسترسی به مقالات دانشگاه,research,https://profdoc.um.ac.ir/,unit-service,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-scimet,ferdowsi,سامانه اطلاعات علمی اعضای هیأت علمی,research,https://scimet.um.ac.ir/,unit-service,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-sys-1,ferdowsi,سامانه یکپارچه نشریات,journals,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-sys-2,ferdowsi,بانک داده‌های پژوهشی,research,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-sys-3,ferdowsi,سامانه پایان‌نامه,research,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-sys-4,ferdowsi,سامانه علم‌سنجی,research,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-sys-5,ferdowsi,شبکه آزمایشگاهی,laboratory,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-thesis,ferdowsi,پایان‌نامه‌های دانشجویی,research,https://thesis.um.ac.ir/,unit-service,https://vpr.um.ac.ir/,verified,2026-08-10
isfahan-central-lab-system,isfahan,آزمایشگاه مرکزی,laboratory,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-journals,isfahan,سامانه نشریات,journals,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-library-search,isfahan,جستجو در کتابخانه,library,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-nan,isfahan,سامانه نان,national,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
