id,universitySlug,title,type,topic,url,parentUrl,format,status,evidence,publishedDate,lastVerified,publisherUnit,approvalAuthority
isfahan-doc-1,isfahan,آیین‌نامه پذیرش مرکز رشد,آیین‌نامه,صنعت، فناوری و مالکیت فکری,https://research.ui.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-doc-2,isfahan,آیین‌نامه تمدید استقرار شرکت‌های دانش‌بنیان,آیین‌نامه,سایر,https://research.ui.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-doc-3,isfahan,فرآیند استقرار در مرکز رشد,فرآیند,صنعت، فناوری و مالکیت فکری,https://research.ui.ac.ir/,,,active,verified,,2026-08-10,,
allameh-doc-1,allameh,شیوه‌نامه انتخاب سرآمدان پژوهشی,شیوه‌نامه,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-2,allameh,شیوه‌نامه طرح‌های پژوهشی,شیوه‌نامه,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-3,allameh,دستورالعمل نشست‌های علمی,دستورالعمل,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-4,allameh,شیوه‌نامه مدرسه پژوهشی,شیوه‌نامه,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-5,allameh,دستورالعمل پژوهانه جامع,دستورالعمل,حمایت و گرنت,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-6,allameh,شیوه‌نامه دستیار پژوهشی,شیوه‌نامه,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-7,allameh,شیوه‌نامه حمایت از پایان‌نامه,شیوه‌نامه,حمایت و گرنت,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
allameh-doc-8,allameh,آیین‌نامه تخلفات پژوهشی,آیین‌نامه,سایر,https://research.atu.ac.ir/fa,,,active,verified,,2026-08-10,,
semnan-doc-1,semnan,الحاقیه شیوه‌نامه پژوهانه جامع,شیوه‌نامه,حمایت و گرنت,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
semnan-doc-2,semnan,دستورالعمل ایمنی آزمایشگاه‌ها,دستورالعمل,آزمایشگاه,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
semnan-doc-3,semnan,شیوه‌نامه تخلفات پژوهشی,شیوه‌نامه,سایر,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
semnan-doc-4,semnan,شیوه‌نامه همکاری با جامعه و صنعت,شیوه‌نامه,صنعت، فناوری و مالکیت فکری,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
semnan-doc-5,semnan,دستورالعمل پژوهانه جامع,دستورالعمل,حمایت و گرنت,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
semnan-doc-6,semnan,شیوه‌نامه آزمایشگاه مرکزی,شیوه‌نامه,آزمایشگاه,https://research.semnan.ac.ir/,,,active,verified,,2026-08-10,,
sharif-doc-1,sharif,آیین‌نامه مالکیت فکری,آیین‌نامه,صنعت، فناوری و مالکیت فکری,https://research.sharif.ir/,,,active,verified,,2026-08-10,,
sharif-doc-2,sharif,شیوه‌نامه برنامه هاتف,شیوه‌نامه,سایر,https://research.sharif.ir/,,,active,verified,,2026-08-10,,
isfahan-technology-doc-1,isfahan-technology,آیین‌نامه پژوهانه,آیین‌نامه,حمایت و گرنت,https://research.iut.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-technology-doc-2,isfahan-technology,آیین‌نامه‌ها و فرم‌های پسادکتری,آیین‌نامه,سایر,https://research.iut.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-technology-doc-3,isfahan-technology,تشویق مقالات,سند,سایر,https://research.iut.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-technology-doc-4,isfahan-technology,فرصت مطالعاتی,سند,سایر,https://research.iut.ac.ir/,,,active,verified,,2026-08-10,,
isfahan-technology-doc-5,isfahan-technology,راهنمای استفاده از هوش مصنوعی در پژوهش,سند,سایر,https://research.iut.ac.ir/,,,active,verified,,2026-08-10,,
qom-technology-doc-1,qom-technology,فرم‌ها و آیین‌نامه‌های پژوهشی,آیین‌نامه,سایر,https://qut.ac.ir/fa/researches/index,,,active,verified,,2026-08-10,,
qom-technology-doc-2,qom-technology,طرح‌های درون‌سازمانی و برون‌سازمانی,سند,سایر,https://qut.ac.ir/fa/researches/index,,,active,verified,,2026-08-10,,
qom-technology-doc-3,qom-technology,مجلات علمی دانشگاه,سند,سایر,https://qut.ac.ir/fa/researches/index,,,active,verified,,2026-08-10,,
iran-art-doc-1,iran-art,دستورالعمل جشنواره پژوهشگران و فناوران,دستورالعمل,صنعت، فناوری و مالکیت فکری,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
iran-art-doc-2,iran-art,چارچوب موظفی اعضای هیئت علمی پژوهشی,سند,سایر,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
iran-art-doc-3,iran-art,فرم تناسب رساله,فرم,تحصیلات تکمیلی و امور پژوهشی,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
iran-art-doc-4,iran-art,آیین‌نامه هدفمندسازی رساله‌های دکتری,آیین‌نامه,تحصیلات تکمیلی و امور پژوهشی,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
iran-art-doc-5,iran-art,آیین‌نامه حمایت از پایان‌نامه و رساله,آیین‌نامه,حمایت و گرنت,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
iran-art-doc-6,iran-art,آیین‌نامه دکتری آموزشی-پژوهشی,آیین‌نامه,سایر,https://research.art.ac.ir/fa,,,active,verified,,2026-08-10,,
shahed-thesis-writing-guideline,shahed,شیوه‌نامه نگارش پایان‌نامه‌ها,شیوه‌نامه,پایان‌نامه و رساله,https://library.shahed.ac.ir/,https://library.shahed.ac.ir/,HTML/link-index,active,verified,,2026-08-10,مرکز اسناد و مدارک علمی,
tarbiat-modares-reaudit-doc-1,tarbiat-modares,فهرست فرم‌ها، آیین‌نامه‌ها و دستورالعمل‌ها,فهرست اسناد,سایر,https://res.modares.ac.ir/res/forms,,,active,verified,,2026-08-11,,
ferdowsi-reaudit-doc-1,ferdowsi,فهرست فرم‌ها، آیین‌نامه‌ها و دستورالعمل‌ها,فهرست اسناد,سایر,https://iraniah.um.ac.ir/index.php/fa/regulations-and-forms/postgraduate-forms,,,active,verified,,2026-08-11,,
kharazmi-reaudit-doc-1,kharazmi,آیین‌نامه اجرایی دوره دکتری تخصصی,آیین‌نامه,تحصیلات تکمیلی و امور پژوهشی,https://pgeducation.khu.ac.ir/files/site41/files/aeen_name_ejraee_97.pdf,,,active,verified,,2026-08-11,,
sistan-baluchestan-reaudit-doc-1,sistan-baluchestan,فهرست فرم‌ها، آیین‌نامه‌ها و دستورالعمل‌ها,فهرست اسناد,سایر,https://www.usb.ac.ir/%D9%85%DB%8C%D8%B2%D8%AE%D8%AF%D9%85%D8%AA/%D9%85%DB%8C%D8%B2-%D8%AE%D8%AF%D9%85%D8%AA-%D8%A7%D8%B9%D8%B6%D8%A7%DB%8C-%D9%87%DB%8C%D8%A7%D8%AA-%D8%B9%D9%84%D9%85%DB%8C/%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%88-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C,,,active,verified,,2026-08-11,,
sistan-baluchestan-reaudit-doc-2,sistan-baluchestan,سند منتشرشده معاونت پژوهش و فناوری,سند,صنعت، فناوری و مالکیت فکری,https://www.usb.ac.ir/FileUpload/9992_2026-5-4-10-55-5.pdf,,,active,verified,,2026-08-11,,
